Test_Name,Abbreviation,Author,Dual_Wider,Dual_Narrow,Others,Dual_Wider_OR_Others,Dual_Narrow_OR_Others,Ashford_Review_A,Ashford_Review_C,Ashford_Review_D,Ashford_Review_E,Ashford_Review_F,Ashford_Review_G,Ashford_Review_H,Ashford_Review_J,Cullen_T1,Cullen_T2,Cullen_T3,Lischka_Review,Tsoi_Review,Zhou_Review,General_searches
Clinical Dementia Rating Scale,CDR,,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Extended Scale for Dementia,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Category Fluency - Set Test,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cognisyst,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Alzheimer's Staging Scale,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yokota Memory Test,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Confusion Assessment Method,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Trail making Test,TMT,,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Cognitive Section of CAMDEX,CAMDEX,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Functional Assessment Test,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mental Alternation test,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Category and Letter Fluency,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cognitive Drug Research,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cognitive Screening Test,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ottowa Mental Status Exam,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rowland Universal Dementia Assessment Scale,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AD8,AD8,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS Vital Signs,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cog Screen,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cognitive Stability Index,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cognitive Stability Index,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cognometer,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Computer-Administered Neuropsychological Screen for Mild Cognitive Impairment (NB BATTERY),to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Global Clinical Scale,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Global Deterioration Scale,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Halifax Mental Status Scale,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Interactive-Voice Recognition Dementia Screen,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mattis Dementia Rating Scale,DRS,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Medical Care Corporation,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Medical Decision Logic, Inc",to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MemTrax,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
MicroCog,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Milan Overall Dementia Assessment,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NetMet,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Neurotrax,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
CogTest,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cognistat,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Telephone Brief Screen for Cognitive Impairment,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Telephone-assessed Mental State,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Temporal Orientation,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
St. Louis University Mental Status Examination,SLU,"(Tariq, Tumosa, Chibnall, Perry, & Morley, 2006)",FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Three words three shapes,to complete,Weintraub et al 2000,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brief Cognitive Rating Scale,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AB Cognitive Screen,ABCS,,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brief Cognitive Scale,BCS,,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dementia Questionnaire,DQ,,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Deterioration Cognitive Observee,DECO,,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Modified WORLD Test,WORLD,,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Montpelier Screen,Mont,,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Neurobehavioral Cognitive Status Examination OR Cognistat,NCSE,,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Rotterdam Version of the Cambridge Cognitive Examination,R-CAMCOG,,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Short Memory Questionnaire,SMQ,"Kokmen, Naessens, & Offord, 1987",TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Short Portable Mental Status Questionnaire,SPMSQ,,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Symptoms of Dementia Screener ,SDS,,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Three Word Recall,3WR,"Kulansky et al, 2002",TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Minnesota Cognitive Acuity Screen,MCAS,,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
CANS-MCI,CANS-MCI,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Extended Mini-Mental Assessment,EMA,Ashford et al 1992,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Telephone Interview of Cognitive Status-Modified,TICS-M,,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Cognosis,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cogstate,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MMSE-telephone version,to complete,,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rapid Dementia Screening Test,RDST,,TRUE,TRUE,FALSE,TRUE,TRUE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Blessed Memory Test/Category Fluency,to complete,"Kilada et al, 2005",TRUE,TRUE,FALSE,TRUE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brief Alzheimer Screen,BAS,"Mendiondo et al, 2003",TRUE,TRUE,FALSE,TRUE,TRUE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Clifton Assessment Procedures for the Elderly - Cognitive Assessment Scale,to complete,,TRUE,TRUE,FALSE,TRUE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delayed Word Recall Test,to complete,,TRUE,TRUE,FALSE,TRUE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Efficient Office-Based Assessment of Cognition,to complete,,TRUE,TRUE,FALSE,TRUE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mild cognitive impairment screen,to complete,Shankle et al 2005,TRUE,TRUE,FALSE,TRUE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mini-Cog,Mini-Cog,"(Borson, Scanlan, Brush, Vitaliano, & Dokmak, 2000)",TRUE,TRUE,FALSE,TRUE,TRUE,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Short Cognitive Evaluation Battery,to complete,,TRUE,TRUE,FALSE,TRUE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Short Orientation Memory Concentration Test ,"S-OMC, 6-CIT, Short Blessed Test",Katzman et al 1983,TRUE,TRUE,FALSE,TRUE,TRUE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Six Item Screener,SIS,,TRUE,TRUE,FALSE,TRUE,TRUE,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Ten-item free recall with serial position effect analysis,to complete,"Tractenberg, Aisan & Chuang, 2005",TRUE,TRUE,FALSE,TRUE,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-Minute Screen,7MS,"(Solomon et al., 1998)",TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Cognitive Abilities Screening Instrument,CASI,,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Cognitive Assessment Screening Test,CAST,,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DemTect,DemTect,,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Short and Sweet Screening Instrument,SASSI,,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Time and Change,T&C,,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Clock Drawing Test- Shulman,CDT,,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Clock Drawing Test- Sunderland,CDT,,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Informant Questionnaire on Cognitive Decline in the Elderly - Short Form,IQCODE-SF,,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
Abbreviated Mental Test,AMT,Hodkinson 1972,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
General Practitioner Assessment of Cognition,GPCOG,,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Verbal Fluency,to complete,,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,0,0,0,1 (categories),0,0,0,1,0,0
Modified Mini-mental state examination,3MS,"Teng & Choi, 1987",TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
Addenbrooke's Cognitive Examination,ACE,"Mathuranath, Nestor, Berrios, Rakowicz, & Hodges, 2000)",FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Alzheimer Disease Assessment Scale Cognitive Subscale,ADAS-cog,"(Rosen, Mohs, & Davis, 1984)",FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Benton's Visual Retention Test,BVRT,"Benton, 1965",FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chinese Abbreviated Mild Cognitive Impairment Test ,CAMCI,"Lam et al., 2008",FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Isaacs Set Test ,IST,"Isaacs & Kennie, 1973",FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Revised Hasegawa's Dementia Scale ,HDS-R,"Imai & Hasegawa, 1994",FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Standardized Mini-Mental State Examination,S-MMSE,"Molloy, Alemayehu, & Roberts, 1991",FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cognitive Capacity Screening Examination,CCSE,"Jacobs, Bernhard, Delgado, & Strain, 1977",TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
Short Test of Mental Status,STMS,"Kokmen, Naessens, & Offord, 1987",TRUE,TRUE,TRUE,TRUE,TRUE,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Montreal Cognitive Assessment ,MoCA,"Nasreddine et al., 2003",FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Informant Questionnaire on Cognitive Decline in the Elderly,IQCODE,"Jorm & Jacomb, 1989",TRUE,FALSE,TRUE,TRUE,TRUE,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0
Memory Impairment Screen,MIS,"Buschke et al., 1999",TRUE,TRUE,TRUE,TRUE,TRUE,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
Addenbrooke's Cognitive Examination Revised,ACE-R,"Mioshi, Dawson, Mitchell, Arnold, & Hodges, 2006)",TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Mini Mental State Examination,MMSE,"Folstein et al., 1975",TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Indiana University Telephone-Based Assessment of Neuropsychological Status,to complete,,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
IntegNeuro,to complete,,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Hopkins Verbal Learning Test,HVLT,,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
High Sensitivity Cognitive Screen,to complete,,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Cambridge Cognitive Examination,CAMCOG,"Roth et al., 1986)",FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
The Repeatable Battery for the Assessment of Neuropsychological Status,to complete,,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Visual association test,to complete,,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini-ACE,M-ACE,,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TELE,to complete,,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
